LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
23.98085,-67.40035,131.0,307.0,,5,[SAT-AIS],8,T1RnNE9UY3lPVGc0T1RjeU9UZzRPUT09LTJSQSt6RTdRWUs5WVJUNmVFZFhHZlE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.12132,-78.47202,138.0,10.0,106.0,21,SILVER HEBA,8,1365469,,,,BS NAS,HK,183.0,,32.0,147.0,24.0,49897.0,88.0
32.11167,-73.905,120.0,270.0,,6,[SAT-AIS],8,TmpFNE9USXdOakU0T1RJd05qRTRPUT09LWd5dENvN1lqek0wYkhYS1hLa3M4MXc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
31.74834,-72.22556,127.0,202.0,,67,[SAT-AIS],8,TmpVME5qTTBOalUwTmpNME5qVTBOZz09LXdNcm4yWTR0anZyVmlyOTl0WFMvZ0E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
22.44,-77.90166,100.0,123.0,,9,[SAT-AIS],8,TXpBd09UWTFNekF3T1RZMU16QXdPUT09LW04NTlKUnJvSjFKbDlsbFQ2aVJSMlE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
31.93969,-79.08551,150.0,184.0,179.0,589,BOW SPRING,8,307101,,,,USHOU,NO,182.0,8.0,32.0,149.0,20.0,49429.0,88.0
29.80333,-79.10167,130.0,180.0,,6,[SAT-AIS],8,TnpNek9UZzROek16T1RnNE56TXpPUT09LUdhbXJlS256UlZzY3NiS0dvSzhKL1E9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
27.7122,-70.38936,111.0,253.0,,14,[SAT-AIS],7,TkRJeE5qTTNOREl4TmpNM05ESXhOZz09LTZKWjNNVm9ENnJWZStxbVJmTHZ0RVE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.12077,-79.18353,151.0,194.0,,22,[SAT-AIS],8,TnpZd09ESTJOell3T0RJMk56WXdPQT09LW1RTmFuczVNZ0pzKzF1dTZlVTl6VEE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
33.20375,-78.23862,115.0,182.0,182.0,1223,CHAMPION EBONY,8,310142,,,,NEW ORLEANS,NO,182.0,0.0,32.0,154.0,13.0,46938.0,88.0
29.32833,-78.655,120.0,186.0,,4,[SAT-AIS],8,T0RrMU9ESTBPRGsxT0RJME9EazFPQT09LUtZVmpKd2N4NjM4eXJiZEszT3lHZGc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
